trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;;
20213;Bandeira propria;Credito;Basico Nacional;1938972;535612;2741493;521339586;0;0;;
20232;VISA;Credito;Empresarial;3521641;2173436;41594872;12547655589;468389;396967163;;
20213;VISA;Debito;Intermediario;3745393;2347388;59581444;4814915281;490;101639;;
20211;MasterCard;Debito;Basico Internacional;83088117;21554284;567370086;39064611986;27511;9502222;;
20211;MasterCard;Credito;Premium;2197074;1785104;107175156;21107092218;1234605;631224037;;
20223;MasterCard;Pre-Pago;Empresarial;1326421;452900;19051729;1150498383;0;0;;
20192;MasterCard;Pre-Pago;Platinum;361529;104701;1103036;60681321;131780;23428581;;
20213;MasterCard;Debito;Platinum;864416;385714;9028660;816062254;1730;761975;;
20203;Elo;Credito;Platinum;45451;40528;1040197;170096326;915;213721;;
20233;Elo;Debito;Empresarial;989166;394867;9191895;1227528692;0;0;;
20191;MasterCard;Debito;Premium;211226;115589;1931664;186615896;5099;2129487;;
20182;MasterCard;Debito;Premium;204756;116143;1947513;188355503;4302;1817119;;
20202;MasterCard;Credito;Empresarial;2012146;1461916;15100296;3719127502;264777;172009819;;
20203;MasterCard;Pre-Pago;Outros;13560143;2786548;31947006;2325735894;265301;41736113;;
20214;Bandeira propria;Pre-Pago;Outros;591217;246442;502900338;895538643;0;0;;
20212;MasterCard;Credito;Outros;17649299;5982166;502900338;7428326532;103424;14094559;;
20231;American Express;Credito;Empresarial;26598;18382;529885;356075148;25707;44451625;;
20191;VISA;Credito;Platinum;5152635;3788951;179935751;22879997227;3331944;1024731079;;
20193;MasterCard;Pre-Pago;Basico Nacional;98943;22712;279654;15529708;0;0;;
20192;MasterCard;Credito;Premium;1818246;1476641;103804163;18491377524;4219266;1904055774;;
20223;MasterCard;Debito;Platinum;1120864;616523;17359392;1315065581;6327;2708842;;
20202;Bandeira propria;Credito;Outros;10901851;6353477;8709014;1093824407;0;0;;
20213;Elo;Debito;Outros;24556;7476;185074;13057853;345;76315;;
20223;MasterCard;Credito;Corporativo;166240;103685;4327659;2231853630;242147;253636835;;
20224;MasterCard;Pre-Pago;Empresarial;2282694;881260;27461077;1906353988;7800;1274130;;
20201;VISA;Pre-Pago;Empresarial;1418;1082;18586;1585466;0;0;;
20211;American Express;Credito;Intermediario;574163;348180;7818627;1349996975;54516;20703988;;
20234;MasterCard;Debito;Empresarial;1840152;431006;15493534;1033834993;26;22958;;
20214;American Express;Credito;Intermediario;468261;331442;8801209;1556259279;60742;30173541;;
20231;American Express;Credito;Corporativo;68432;49995;1165487;1023587778;83905;134122134;;
20202;Elo;Debito;Empresarial;711850;301075;4930991;643004235;0;0;;
20232;VISA;Credito;Intermediario;31088772;19129345;417828581;48914061616;1274354;285108014;;
20211;MasterCard;Credito;Platinum;14013445;11905857;331273717;42416827918;1736575;417692087;;
20221;American Express;Credito;Empresarial;21948;16437;475453;302644219;21197;32437479;;
20182;Elo;Credito;Basico Internacional;1292390;503812;8362809;902664511;38851;15463713;;
20194;VISA;Credito;Intermediario;7383819;5311727;184912861;22281178691;1967433;532754662;;
20183;VISA;Debito;Basico Internacional;112491221;29984098;571613876;37191883186;115938;11592034;;
20223;MasterCard;Debito;Outros;866058;278476;4037584;189724234;1100;451510;;
20181;Elo;Debito;Outros;54350650;21847342;260455472;15057466043;0;0;;
20203;Outras;Debito;Outros;3483227;1879278;37663683;3514335510;0;0;;
20212;VISA;Debito;Basico Internacional;116541954;39742042;708800336;51140675765;28234;6488514;;
20192;VISA;Debito;Intermediario;1365888;844588;26055528;1870863762;408;59559;;
20202;Elo;Debito;Corporativo;1889;1;1;171;0;0;;
20204;American Express;Credito;Basico Nacional;73856;46492;831753;114690224;3757;1232267;;
20181;Elo;Pre-Pago;Outros;1337875;947924;7257605;331935382;0;0;;
20223;MasterCard;Debito;Intermediario;77811802;50283648;902667566;48599332351;42695;8859410;;
20203;MasterCard;Credito;Basico Internacional;20755657;9925762;135319197;13304417183;508534;99584906;;
20222;VISA;Pre-Pago;Platinum;180084;125043;0;0;95108;19602199;;
20232;MasterCard;Debito;Basico Nacional;9474150;3352841;76682580;5459519112;44;13061;;
20233;Elo;Pre-Pago;Basico Internacional;2082229;1344883;11210951;733787278;3240;657550;;
20211;Elo;Credito;Corporativo;24106;13163;45707;104809129;63;42204;;
20183;Bandeira propria;Pre-Pago;Outros;222334;43415;55164;1658675;39613;1256954;;
20213;MasterCard;Credito;Intermediario;81084622;53018646;984443633;96738846760;3629543;478068797;;
20182;MasterCard;Pre-Pago;Platinum;145179;4541;0;0;156311;29299374;;
20211;VISA;Credito;Premium;1838391;1332423;76000253;14701937707;575014;347667693;;
20232;MasterCard;Debito;Empresarial;1734814;428364;14619835;974851190;37;28002;;
